date,time,location,region,country,lat,lon,tz_id,temp_c,temp_f,is_day,condition_text,condition_icon,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
2025-01-01,2025-01-01 00:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,21.1,70.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,7.8,12.6,44,NE,1014.0,29.95,0.0,0.0,82,13,21.1,70.0,21.1,70.0,24.3,75.7,17.9,64.2,0,0,0,0,10.0,6.0,12.4,20.0,0.0
2025-01-01,2025-01-01 01:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,20.9,69.7,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,6.9,11.2,36,NE,1014.0,29.94,0.0,0.0,82,18,20.9,69.7,20.9,69.7,20.9,69.7,17.9,64.1,0,0,0,0,10.0,6.0,11.0,17.7,0.0
2025-01-01,2025-01-01 02:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,20.8,69.4,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,5.8,9.4,32,NNE,1013.0,29.92,0.0,0.0,83,11,20.8,69.4,20.8,69.4,20.8,69.4,17.8,64.1,0,0,0,0,10.0,6.0,9.2,14.9,0.0
2025-01-01,2025-01-01 03:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,20.6,69.1,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,5.4,8.6,21,NNE,1013.0,29.92,0.0,0.0,84,18,20.6,69.1,20.6,69.1,20.6,69.1,17.8,64.0,0,0,0,0,10.0,6.0,8.6,13.8,0.0
2025-01-01,2025-01-01 04:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,20.4,68.6,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,4.9,7.9,4,N,1013.0,29.93,0.0,0.0,85,27,20.4,68.6,20.4,68.6,20.4,68.6,17.8,64.0,0,0,0,0,10.0,6.0,7.9,12.7,0.0
2025-01-01,2025-01-01 05:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,20.1,68.2,0,Partly cloudy,//cdn.weatherapi.com/weather/64x64/night/116.png,4.7,7.6,350,N,1014.0,29.93,0.0,0.0,85,33,20.1,68.2,20.1,68.2,20.1,68.2,17.6,63.7,0,0,0,0,10.0,6.0,7.5,12.1,0.0
2025-01-01,2025-01-01 06:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,20.8,69.4,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.7,7.6,347,NNW,1014.0,29.94,0.0,0.0,82,25,20.8,69.4,20.8,69.4,20.8,69.4,17.7,63.8,0,0,0,0,10.0,6.0,6.6,10.6,9.0
2025-01-01,2025-01-01 07:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,21.5,70.8,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,5.6,9.0,352,N,1015.0,29.96,0.0,0.0,78,22,21.5,70.8,21.5,70.8,24.4,75.9,17.6,63.7,0,0,0,0,10.0,6.0,7.3,11.8,9.0
2025-01-01,2025-01-01 08:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,22.7,72.8,1,Partly cloudy,//cdn.weatherapi.com/weather/64x64/day/116.png,4.8,7.8,14,NNE,1014.0,29.95,0.0,0.0,72,26,24.8,76.7,22.7,72.8,24.8,76.7,17.3,63.1,0,0,0,0,10.0,6.0,9.3,15.0,9.0
2025-01-01,2025-01-01 09:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,23.9,75.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,7.4,12.0,31,NNE,1014.0,29.93,0.0,0.0,64,19,25.5,77.9,23.9,75.0,25.5,77.9,16.8,62.2,0,0,0,0,10.0,6.0,11.8,19.0,9.0
2025-01-01,2025-01-01 10:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,24.9,76.9,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.7,15.5,40,NE,1013.0,29.91,0.0,0.0,59,16,26.1,79.0,24.9,76.9,26.1,79.0,16.5,61.7,0,0,0,0,10.0,6.0,14.9,24.0,9.0
2025-01-01,2025-01-01 11:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,25.4,77.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11.6,18.7,47,NE,1012.0,29.88,0.0,0.0,58,9,26.5,79.7,25.4,77.7,26.5,79.7,16.6,61.9,0,0,0,0,10.0,6.0,17.8,28.6,10.0
2025-01-01,2025-01-01 12:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,27.2,81.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,12.3,19.9,56,ENE,1011.0,29.85,0.0,0.0,58,5,28.1,82.5,27.2,81.0,28.1,82.5,16.6,61.8,0,0,0,0,10.0,6.0,19.9,32.0,10.0
2025-01-01,2025-01-01 13:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,27.1,80.7,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,14.1,22.7,55,NE,1010.0,29.82,0.0,0.0,60,10,28.1,82.6,27.1,80.7,28.1,82.6,17.5,63.5,0,0,0,0,10.0,6.0,24.8,39.8,10.0
2025-01-01,2025-01-01 14:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,27.0,80.6,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,15.0,24.2,49,NE,1009.0,29.8,0.0,0.0,60,17,28.1,82.6,27.0,80.6,28.1,82.6,17.6,63.7,0,0,0,0,10.0,6.0,26.6,42.9,10.0
2025-01-01,2025-01-01 15:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,26.6,79.9,1,Cloudy,//cdn.weatherapi.com/weather/64x64/day/119.png,15.3,24.6,38,NE,1009.0,29.8,0.0,0.0,63,78,27.8,82.0,26.6,79.9,27.8,82.0,17.8,64.0,0,0,0,0,10.0,6.0,27.8,44.7,9.0
