date,time,location,region,country,lat,lon,tz_id,temp_c,temp_f,is_day,condition_text,condition_icon,wind_mph,wind_kph,wind_degree,wind_dir,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feelslike_c,feelslike_f,windchill_c,windchill_f,heatindex_c,heatindex_f,dewpoint_c,dewpoint_f,will_it_rain,chance_of_rain,will_it_snow,chance_of_snow,vis_km,vis_miles,gust_mph,gust_kph,uv
2025-05-24,2025-05-24 00:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,15.0,59.0,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,11.9,19.1,306,NW,1012.0,29.88,0.0,0.0,74,0,15.0,59.0,15.0,59.0,15.0,59.0,10.4,50.8,0,0,0,0,10.0,6.0,19.3,31.1,0.0
2025-05-24,2025-05-24 01:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,14.4,57.9,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,11.9,19.1,305,NW,1012.0,29.88,0.0,0.0,70,0,13.0,55.4,13.0,55.4,14.4,57.9,9.1,48.4,0,0,0,0,10.0,6.0,19.2,30.9,0.0
2025-05-24,2025-05-24 02:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,13.8,56.9,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,11.6,18.7,299,WNW,1012.0,29.89,0.0,0.0,70,0,12.3,54.1,12.3,54.1,13.8,56.9,8.4,47.1,0,0,0,0,10.0,6.0,18.9,30.5,0.0
2025-05-24,2025-05-24 03:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,13.5,56.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,10.5,16.9,300,WNW,1012.0,29.89,0.0,0.0,70,0,12.0,53.6,12.0,53.6,13.5,56.2,8.1,46.6,0,0,0,0,10.0,6.0,17.1,27.5,0.0
2025-05-24,2025-05-24 04:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,13.3,55.9,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,9.6,15.5,301,WNW,1013.0,29.91,0.0,0.0,70,2,11.9,53.4,11.9,53.4,13.3,55.9,7.9,46.2,0,0,0,0,10.0,6.0,15.8,25.4,0.0
2025-05-24,2025-05-24 05:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,13.0,55.3,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,9.2,14.8,302,WNW,1013.0,29.93,0.0,0.0,69,4,11.6,52.9,11.6,52.9,13.0,55.3,7.5,45.4,0,0,0,0,10.0,6.0,15.4,24.8,0.0
2025-05-24,2025-05-24 06:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,12.9,55.2,0,Clear,//cdn.weatherapi.com/weather/64x64/night/113.png,9.8,15.8,310,NW,1014.0,29.95,0.0,0.0,69,10,11.4,52.6,11.4,52.6,12.9,55.2,7.3,45.2,0,0,0,0,10.0,6.0,16.3,26.2,0.0
2025-05-24,2025-05-24 07:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,12.8,55.0,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,9.8,15.8,311,NW,1015.0,29.96,0.0,0.0,70,13,11.3,52.3,11.3,52.3,12.8,55.0,7.5,45.6,0,0,0,0,10.0,6.0,16.4,26.4,5.0
2025-05-24,2025-05-24 08:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,13.4,56.2,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,10.1,16.2,309,NW,1015.0,29.98,0.0,0.0,71,23,12.0,53.6,12.0,53.6,13.4,56.2,8.4,47.0,0,0,0,0,10.0,6.0,15.1,24.3,5.0
2025-05-24,2025-05-24 09:00,Sydney,New South Wales,Australia,-33.8833,151.2167,Australia/Sydney,14.7,58.5,1,Sunny,//cdn.weatherapi.com/weather/64x64/day/113.png,11.2,18.0,307,NW,1016.0,29.99,0.0,0.0,69,17,13.5,56.3,13.5,56.3,14.7,58.5,9.0,48.3,0,0,0,0,10.0,6.0,14.9,23.9,5.0
